iter	Passed	Remaining
0	2	251
1	5	245
2	5	187
3	6	154
4	7	137
5	8	129
6	9	126
7	10	125
8	12	121
9	12	113
10	13	108
11	14	104
12	15	102
13	16	100
14	17	97
15	18	95
16	19	94
17	20	92
18	21	90
19	22	88
20	22	85
21	23	83
22	24	80
23	24	78
24	25	75
25	25	73
26	26	71
27	26	69
28	27	67
29	28	65
30	28	63
31	29	61
32	29	60
33	30	58
34	30	56
35	31	55
36	31	54
37	32	52
38	32	51
39	33	49
40	33	48
41	33	46
42	34	45
43	34	44
44	35	43
45	35	41
46	36	40
47	36	39
48	37	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	43	25
63	44	24
64	44	23
65	45	23
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
