iter	Passed	Remaining
0	136	136786
1	137	68650
2	138	45947
3	140	34863
4	141	28197
5	143	23708
6	144	20454
7	144	17961
8	146	16098
9	147	14650
10	149	13418
11	150	12393
12	151	11517
13	152	10726
14	153	10071
15	154	9474
16	155	8974
17	155	8502
18	156	8089
19	157	7718
20	158	7384
21	159	7076
22	159	6795
23	160	6539
24	161	6299
25	162	6076
26	162	5867
27	163	5673
28	163	5490
29	164	5319
30	165	5159
31	165	5009
32	166	4868
33	166	4734
34	167	4610
35	167	4491
36	168	4378
37	168	4270
38	169	4168
39	169	4072
40	170	3980
41	170	3894
42	171	3810
43	171	3731
44	172	3654
45	172	3581
46	173	3511
47	173	3446
48	174	3383
49	174	3322
50	175	3262
51	175	3205
52	176	3149
53	176	3095
54	177	3043
55	177	2994
56	178	2946
57	178	2903
58	179	2860
59	179	2818
60	180	2778
61	180	2738
62	181	2699
63	182	2662
64	182	2625
65	182	2589
66	183	2554
67	183	2520
68	184	2487
69	184	2454
70	185	2423
71	185	2393
72	186	2363
73	186	2334
74	187	2306
75	187	2279
76	187	2252
77	188	2227
78	188	2202
79	189	2177
80	189	2153
81	190	2130
82	190	2105
83	191	2083
84	191	2062
85	192	2042
86	192	2021
87	193	2001
88	193	1983
89	194	1964
90	194	1945
91	195	1927
92	195	1909
93	196	1891
94	196	1873
95	197	1856
96	197	1839
97	198	1823
98	198	1807
99	199	1791
100	199	1775
101	199	1760
102	200	1745
103	200	1730
104	201	1716
105	201	1701
106	202	1688
107	202	1675
108	203	1662
109	203	1649
110	204	1637
111	204	1625
112	205	1612
113	205	1600
114	206	1588
115	206	1576
116	207	1564
117	207	1552
118	208	1541
119	208	1530
120	209	1519
121	209	1508
122	210	1497
123	210	1487
124	210	1476
125	211	1466
126	211	1455
127	212	1446
128	212	1436
129	213	1426
130	213	1417
131	214	1408
132	214	1398
133	215	1390
134	215	1382
135	216	1374
136	217	1367
137	217	1358
138	218	1350
139	218	1342
140	218	1333
141	219	1324
142	219	1316
143	220	1309
144	220	1301
145	221	1293
146	221	1285
147	222	1278
148	222	1270
149	222	1263
150	223	1256
151	223	1249
152	224	1242
153	224	1235
154	225	1228
155	225	1222
156	226	1215
157	226	1208
158	227	1203
159	228	1197
160	228	1190
161	229	1185
162	229	1179
163	230	1173
164	230	1168
165	231	1162
166	231	1156
167	232	1150
168	232	1144
169	233	1138
170	233	1132
171	234	1127
172	234	1122
173	235	1116
174	235	1111
175	236	1105
176	236	1100
177	237	1095
178	237	1089
179	238	1084
180	238	1079
181	239	1074
182	239	1069
183	240	1064
184	240	1060
185	241	1055
186	241	1051
187	242	1046
188	242	1042
189	243	1037
190	243	1033
191	244	1029
192	245	1024
193	245	1020
194	246	1015
195	246	1011
196	246	1006
197	247	1002
198	247	997
199	248	993
200	248	988
201	249	984
202	249	980
203	250	976
204	250	972
205	251	967
206	251	964
207	252	960
208	252	957
209	253	953
210	254	949
211	254	946
212	255	942
213	255	938
